"species","kingdom","phylum","class"
"Buccinum undatum","Animalia","Mollusca","Gastropoda"
"Nomotettix cristatus","Animalia","Arthropoda","Insecta"
"Macaria argillacearia","Animalia","Arthropoda","Insecta"
"Cicindela sexguttata","Animalia","Arthropoda","Insecta"
"Oenothera perennis","Plantae","Tracheophyta","Magnoliopsida"
"Hesperis matronalis","Plantae","Tracheophyta","Magnoliopsida"
"Littorina obtusata","Animalia","Mollusca","Gastropoda"
"Streptopus amplexifolius","Plantae","Tracheophyta","Liliopsida"
"Piranga olivacea","Animalia","Chordata","Aves"
"Chauliodes rastricornis","Animalia","Arthropoda","Insecta"
"Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida"
"Pachysphinx modesta","Animalia","Arthropoda","Insecta"
"Fragaria virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Tetracis crocallata","Animalia","Arthropoda","Insecta"
"Caltha palustris","Plantae","Tracheophyta","Magnoliopsida"
"Rumex acetosella","Plantae","Tracheophyta","Magnoliopsida"
"Trillium undulatum","Plantae","Tracheophyta","Liliopsida"
"Lepidium campestre","Plantae","Tracheophyta","Magnoliopsida"
"Phlegyas abbreviatus","Animalia","Arthropoda","Insecta"
"Leucorrhinia intacta","Animalia","Arthropoda","Insecta"
"Dolichousnea longissima","Fungi","Ascomycota","Lecanoromycetes"
"Setophaga petechia","Animalia","Chordata","Aves"
"Melospiza georgiana","Animalia","Chordata","Aves"
"Ectobius lapponicus","Animalia","Arthropoda","Insecta"
"Maianthemum stellatum","Plantae","Tracheophyta","Liliopsida"
"Ligusticum scoticum","Plantae","Tracheophyta","Magnoliopsida"
"Sphyrapicus varius","Animalia","Chordata","Aves"
"Nicrophorus orbicollis","Animalia","Arthropoda","Insecta"
"Attelabus bipustulatus","Animalia","Arthropoda","Insecta"
"Myiarchus crinitus","Animalia","Chordata","Aves"
"Chelydra serpentina","Animalia","Chordata","Testudines"
"Lon hobomok","Animalia","Arthropoda","Insecta"
"Ceratomia undulosa","Animalia","Arthropoda","Insecta"
"Selatosomus pulcher","Animalia","Arthropoda","Insecta"
"Nuttallanthus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Mormidea lugens","Animalia","Arthropoda","Insecta"
"Iris hookeri","Plantae","Tracheophyta","Liliopsida"
"Anatis mali","Animalia","Arthropoda","Insecta"
"Otiorhynchus singularis","Animalia","Arthropoda","Insecta"
"Bittacomorpha clavipes","Animalia","Arthropoda","Insecta"
"Euodynerus hidalgo","Animalia","Arthropoda","Insecta"
"Setophaga magnolia","Animalia","Chordata","Aves"
"Viburnum recognitum","Plantae","Tracheophyta","Magnoliopsida"
"Menidia menidia","Animalia","Chordata",""
"Saccharina latissima","Chromista","Ochrophyta","Phaeophyceae"
"Philanthus bilunatus","Animalia","Arthropoda","Insecta"
"Diplolepis polita","Animalia","Arthropoda","Insecta"
"Arion subfuscus","Animalia","Mollusca","Gastropoda"
"Tetracis cachexiata","Animalia","Arthropoda","Insecta"
"Hygrocybe flavescens","Fungi","Basidiomycota","Agaricomycetes"
"Dolichoderus taschenbergi","Animalia","Arthropoda","Insecta"
"Rubus flagellaris","Plantae","Tracheophyta","Magnoliopsida"
"Athyrium asplenioides","Plantae","Tracheophyta","Polypodiopsida"
"Arethusa bulbosa","Plantae","Tracheophyta","Liliopsida"
"Smerinthus cerisyi","Animalia","Arthropoda","Insecta"
"Phyllodesma americana","Animalia","Arthropoda","Insecta"
"Microglossum rufum","Fungi","Ascomycota","Leotiomycetes"
"Acericecis ocellaris","Animalia","Arthropoda","Insecta"
"Porpidia crustulata","Fungi","Ascomycota","Lecanoromycetes"
"Viburnum lentago","Plantae","Tracheophyta","Magnoliopsida"
"Dryocosmus quercuspalustris","Animalia","Arthropoda","Insecta"
"Procambarus acutus","Animalia","Arthropoda","Malacostraca"
"Cheilosia fraterna","Animalia","Arthropoda","Insecta"
"Cathormiocerus aristatus","Animalia","Arthropoda","Insecta"
"Barbarea vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Anax junius","Animalia","Arthropoda","Insecta"
"Viola macloskeyi","Plantae","Tracheophyta","Magnoliopsida"
"Chrysops niger","Animalia","Arthropoda","Insecta"
"Megacollybia rodmanii","Fungi","Basidiomycota","Agaricomycetes"
"Amanita muscaria","Fungi","Basidiomycota","Agaricomycetes"
"Euptychia cymela","Animalia","Arthropoda","Insecta"
"Libellula julia","Animalia","Arthropoda","Insecta"
"Henricia sanguinolenta","Animalia","Echinodermata","Asteroidea"
"Pyrola americana","Plantae","Tracheophyta","Magnoliopsida"
"Perillus exaptus","Animalia","Arthropoda","Insecta"
"Propylaea quatuordecimpunctata","Animalia","Arthropoda","Insecta"
"Fuligo septica","Protozoa","Mycetozoa","Myxomycetes"
"Calvia quatuordecimguttata","Animalia","Arthropoda","Insecta"
"Ameiurus nebulosus","Animalia","Chordata",""
"Hemaris thysbe","Animalia","Arthropoda","Insecta"
"Trifolium aureum","Plantae","Tracheophyta","Magnoliopsida"
"Synanthedon acerni","Animalia","Arthropoda","Insecta"
"Chrysopa oculata","Animalia","Arthropoda","Insecta"
"Dolomedes tenebrosus","Animalia","Arthropoda","Arachnida"
"Eurycea bislineata","Animalia","Chordata","Amphibia"
"Moehringia lateriflora","Plantae","Tracheophyta","Magnoliopsida"
"Acer platanoides","Plantae","Tracheophyta","Magnoliopsida"
"Vireo solitarius","Animalia","Chordata","Aves"
"Incisalia irioides","Animalia","Arthropoda","Insecta"
"Hormaphis hamamelidis","Animalia","Arthropoda","Insecta"
"Arthromacra aenea","Animalia","Arthropoda","Insecta"
"Viola sororia","Plantae","Tracheophyta","Magnoliopsida"
"Angelica lucida","Plantae","Tracheophyta","Magnoliopsida"
"Urophycis regia","Animalia","Chordata",""
"Lonicera villosa","Plantae","Tracheophyta","Magnoliopsida"
"Amelanchier arborea","Plantae","Tracheophyta","Magnoliopsida"
"Alca torda","Animalia","Chordata","Aves"
"Fratercula arctica","Animalia","Chordata","Aves"
"Polygaloides paucifolia","Plantae","Tracheophyta","Magnoliopsida"
"Setophaga pensylvanica","Animalia","Chordata","Aves"
"Anemone quinquefolia","Plantae","Tracheophyta","Magnoliopsida"
"Pycnoporus cinnabarinus","Fungi","Basidiomycota","Agaricomycetes"
"Veronica serpyllifolia","Plantae","Tracheophyta","Magnoliopsida"
"Dolichoderus plagiatus","Animalia","Arthropoda","Insecta"
"Panthea acronyctoides","Animalia","Arthropoda","Insecta"
"Micranthes virginiensis","Plantae","Tracheophyta","Magnoliopsida"
"Pheucticus ludovicianus","Animalia","Chordata","Aves"
"Clostera albosigma","Animalia","Arthropoda","Insecta"
"Alliaria petiolata","Plantae","Tracheophyta","Magnoliopsida"
"Coltricia cinnamomea","Fungi","Basidiomycota","Agaricomycetes"
"Cicindela duodecimguttata","Animalia","Arthropoda","Insecta"
"Cicindela limbalis","Animalia","Arthropoda","Insecta"
"Ondatra zibethicus","Animalia","Chordata","Mammalia"
"Trametes versicolor","Fungi","Basidiomycota","Agaricomycetes"
"Glechoma hederacea","Plantae","Tracheophyta","Magnoliopsida"
"Tachycineta bicolor","Animalia","Chordata","Aves"
"Sylvanelater cylindriformis","Animalia","Arthropoda","Insecta"
"Hemidactylium scutatum","Animalia","Chordata","Amphibia"
"Anagrapha falcifera","Animalia","Arthropoda","Insecta"
"Bubo scandiacus","Animalia","Chordata","Aves"
"Urticina crassicornis","Animalia","Cnidaria","Anthozoa"
"Onchidoris bilamellata","Animalia","Mollusca","Gastropoda"
"Redectis vitrea","Animalia","Arthropoda","Insecta"
"Omphalotus illudens","Fungi","Basidiomycota","Agaricomycetes"
"Gyromitra esculenta","Fungi","Ascomycota","Pezizomycetes"
"Lactarius vinaceorufescens","Fungi","Basidiomycota","Agaricomycetes"
"Colias eurytheme","Animalia","Arthropoda","Insecta"
"Pheosia rimosa","Animalia","Arthropoda","Insecta"
"Aeshna verticalis","Animalia","Arthropoda","Insecta"
"Poecilus lucublandus","Animalia","Arthropoda","Insecta"
"Sambucus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Photinia floribunda","Plantae","Tracheophyta","Magnoliopsida"
"Draba verna","Plantae","Tracheophyta","Magnoliopsida"
"Fucus distichus","Chromista","Ochrophyta","Phaeophyceae"
"Dichanthelium implicatum","Plantae","Tracheophyta","Liliopsida"
"Syrphus rectus","Animalia","Arthropoda","Insecta"
"Entoloma abortivum","Fungi","Basidiomycota","Agaricomycetes"
"Hemileccinum subglabripes","Fungi","Basidiomycota","Agaricomycetes"
"Callicladium haldanianum","Plantae","Bryophyta","Bryopsida"
"Phytomyza plumiseta","Animalia","Arthropoda","Insecta"
"Vespula acadica","Animalia","Arthropoda","Insecta"
"Corema conradii","Plantae","Tracheophyta","Magnoliopsida"
"Syringa vulgaris","Plantae","Tracheophyta","Magnoliopsida"
"Anageshna primordialis","Animalia","Arthropoda","Insecta"
"Enallagma hageni","Animalia","Arthropoda","Insecta"
"Caliroa cerasi","Animalia","Arthropoda","Insecta"
"Eumenes crucifera","Animalia","Arthropoda","Insecta"
"Lythrum salicaria","Plantae","Tracheophyta","Magnoliopsida"
"Pedicularis canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Aeshna umbrosa","Animalia","Arthropoda","Insecta"
"Ulmus americana","Plantae","Tracheophyta","Magnoliopsida"
"Acarospora fuscata","Fungi","Ascomycota","Lecanoromycetes"
"Amanita rubescens","Fungi","Basidiomycota","Agaricomycetes"
"Arctium minus","Plantae","Tracheophyta","Magnoliopsida"
"Packera schweinitziana","Plantae","Tracheophyta","Magnoliopsida"
"Andrena milwaukeensis","Animalia","Arthropoda","Insecta"
"Rosa carolina","Plantae","Tracheophyta","Magnoliopsida"
"Vasates quadripedes","Animalia","Arthropoda","Arachnida"
"Silene latifolia","Plantae","Tracheophyta","Magnoliopsida"
"Lestes congener","Animalia","Arthropoda","Insecta"
"Herpyllus ecclesiasticus","Animalia","Arthropoda","Arachnida"
"Himatolabus pubescens","Animalia","Arthropoda","Insecta"
"Ranunculus abortivus","Plantae","Tracheophyta","Magnoliopsida"
"Lycoperdon marginatum","Fungi","Basidiomycota","Agaricomycetes"
"Amanita wellsii","Fungi","Basidiomycota","Agaricomycetes"
"Uria lomvia","Animalia","Chordata","Aves"
"Nigronia serricornis","Animalia","Arthropoda","Insecta"
"Cladonia apodocarpa","Fungi","Ascomycota","Lecanoromycetes"
"Ancistrocerus antilope","Animalia","Arthropoda","Insecta"
"Berberis thunbergii","Plantae","Tracheophyta","Magnoliopsida"
"Baorangia bicolor","Fungi","Basidiomycota","Agaricomycetes"
"Mangora placida","Animalia","Arthropoda","Arachnida"
"Hydnellum peckii","Fungi","Basidiomycota","Agaricomycetes"
"Ensis leei","Animalia","Mollusca","Bivalvia"
"Cladonia arbuscula","Fungi","Ascomycota","Lecanoromycetes"
"Lophodytes cucullatus","Animalia","Chordata","Aves"
"Diprion similis","Animalia","Arthropoda","Insecta"
"Usnea strigosa","Fungi","Ascomycota","Lecanoromycetes"
"Corvus corax","Animalia","Chordata","Aves"
"Urocerus cressoni","Animalia","Arthropoda","Insecta"
"Betula cordifolia","Plantae","Tracheophyta","Magnoliopsida"
"Hemaris diffinis","Animalia","Arthropoda","Insecta"
"Porella platyphylla","Plantae","Marchantiophyta","Jungermanniopsida"
"Phallus indusiatus","Fungi","Basidiomycota","Agaricomycetes"
"Lestes rectangularis","Animalia","Arthropoda","Insecta"
"Veronica arvensis","Plantae","Tracheophyta","Magnoliopsida"
"Calla palustris","Plantae","Tracheophyta","Liliopsida"
"Ophiopholis aculeata","Animalia","Echinodermata","Ophiuroidea"
"Juncus balticus","Plantae","Tracheophyta","Liliopsida"
"Aphrophora alni","Animalia","Arthropoda","Insecta"
"Clethra alnifolia","Plantae","Tracheophyta","Magnoliopsida"
"Pleuroprucha insulsaria","Animalia","Arthropoda","Insecta"
"Cortinarius traganus","Fungi","Basidiomycota","Agaricomycetes"
"Trifolium hybridum","Plantae","Tracheophyta","Magnoliopsida"
"Dianthus armeria","Plantae","Tracheophyta","Magnoliopsida"
"Cerastipsocus venosus","Animalia","Arthropoda","Insecta"
"Lasallia pensylvanica","Fungi","Ascomycota","Lecanoromycetes"
"Leuconycta diphteroides","Animalia","Arthropoda","Insecta"
"Tilia americana","Plantae","Tracheophyta","Magnoliopsida"
"Spinulum annotinum","Plantae","Tracheophyta","Lycopodiopsida"
"Melanoleuca gravis","Fungi","Basidiomycota","Agaricomycetes"
"Leptogium cyanescens","Fungi","Ascomycota","Lecanoromycetes"
"Rubus occidentalis","Plantae","Tracheophyta","Magnoliopsida"
"Allograpta obliqua","Animalia","Arthropoda","Insecta"
"Taxus canadensis","Plantae","Tracheophyta","Pinopsida"
"Physocephala furcillata","Animalia","Arthropoda","Insecta"
"Carabus serratus","Animalia","Arthropoda","Insecta"
"Halyomorpha halys","Animalia","Arthropoda","Insecta"
"Picea abies","Plantae","Tracheophyta","Pinopsida"
"Cladonia squamosa","Fungi","Ascomycota","Lecanoromycetes"
"Anthophylax cyaneus","Animalia","Arthropoda","Insecta"
"Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida"
"Hypotrachyna catawbiensis","Fungi","Ascomycota","Lecanoromycetes"
"Sphagnum capillifolium","Plantae","Bryophyta","Sphagnopsida"
"Climacodon septentrionalis","Fungi","Basidiomycota","Agaricomycetes"
"Heterocampa umbrata","Animalia","Arthropoda","Insecta"
"Vicia tetrasperma","Plantae","Tracheophyta","Magnoliopsida"
"Vespula consobrina","Animalia","Arthropoda","Insecta"
"Reynoutria japonica","Plantae","Tracheophyta","Magnoliopsida"
"Verbena bonariensis","Plantae","Tracheophyta","Magnoliopsida"
"Passer domesticus","Animalia","Chordata","Aves"
"Cantharellula umbonata","Fungi","Basidiomycota","Agaricomycetes"
"Ancistrocerus waldenii","Animalia","Arthropoda","Insecta"
"Turbinellus floccosus","Fungi","Basidiomycota","Agaricomycetes"
"Philaenus spumarius","Animalia","Arthropoda","Insecta"
"Lethe eurydice","Animalia","Arthropoda","Insecta"
"Scudderia furcata","Animalia","Arthropoda","Insecta"
"Sciaphilus asperatus","Animalia","Arthropoda","Insecta"
"Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida"
"Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida"
"Phlebia tremellosa","Fungi","Basidiomycota","Agaricomycetes"
"Lactarius lignyotus","Fungi","Basidiomycota","Agaricomycetes"
"Homarus americanus","Animalia","Arthropoda","Malacostraca"
"Mulsantina hudsonica","Animalia","Arthropoda","Insecta"
"Tilia cordata","Plantae","Tracheophyta","Magnoliopsida"
"Setophaga striata","Animalia","Chordata","Aves"
"Araneus cavaticus","Animalia","Arthropoda","Arachnida"
"Dianthidium simile","Animalia","Arthropoda","Insecta"
"Lehmannia marginata","Animalia","Mollusca","Gastropoda"
"Sorex cinereus","Animalia","Chordata","Mammalia"
"Vaccinium myrtilloides","Plantae","Tracheophyta","Magnoliopsida"
"Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida"
"Leucobryum glaucum","Plantae","Bryophyta","Bryopsida"
"Neolecta irregularis","Fungi","Ascomycota","Neolectomycetes"
"Chrysobothris dentipes","Animalia","Arthropoda","Insecta"
"Schoenoplectus tabernaemontani","Plantae","Tracheophyta","Liliopsida"
"Gyroporus cyanescens","Fungi","Basidiomycota","Agaricomycetes"
"Thuidium delicatulum","Plantae","Bryophyta","Bryopsida"
"Buprestis maculativentris","Animalia","Arthropoda","Insecta"
"Araneus saevus","Animalia","Arthropoda","Arachnida"
"Dicranum scoparium","Plantae","Bryophyta","Bryopsida"
"Megaceryle alcyon","Animalia","Chordata","Aves"
"Thyanta custator","Animalia","Arthropoda","Insecta"
"Acronicta funeralis","Animalia","Arthropoda","Insecta"
"Rhytidiadelphus triquetrus","Plantae","Bryophyta","Bryopsida"
"Chelone glabra","Plantae","Tracheophyta","Magnoliopsida"
"Dalibarda repens","Plantae","Tracheophyta","Magnoliopsida"
"Mnium hornum","Plantae","Bryophyta","Bryopsida"
"Carex pseudocyperus","Plantae","Tracheophyta","Liliopsida"
"Ptilidium ciliare","Plantae","Marchantiophyta","Jungermanniopsida"
"Amanita magniverrucata","Fungi","Basidiomycota","Agaricomycetes"
"Ennomos magnaria","Animalia","Arthropoda","Insecta"
"Arctoparmelia centrifuga","Fungi","Ascomycota","Lecanoromycetes"
"Aeshna interrupta","Animalia","Arthropoda","Insecta"
"Mustela erminea","Animalia","Chordata","Mammalia"
"Cucumaria frondosa","Animalia","Echinodermata","Holothuroidea"
"Bembecia marginatum","Animalia","Arthropoda","Insecta"
"Aedes sollicitans","Animalia","Arthropoda","Insecta"
"Ixodes scapularis","Animalia","Arthropoda","Arachnida"
"Vasates aceriscrumena","Animalia","Arthropoda","Arachnida"
"Rhynchospora alba","Plantae","Tracheophyta","Liliopsida"
"Leccinum aurantiacum","Fungi","Basidiomycota","Agaricomycetes"
"Idaea dimidiata","Animalia","Arthropoda","Insecta"
"Tramea carolina","Animalia","Arthropoda","Insecta"
"Lophocampa maculata","Animalia","Arthropoda","Insecta"
"Dacrymyces stillatus","Fungi","Basidiomycota","Dacrymycetes"
"Tricholoma caligatum","Fungi","Basidiomycota","Agaricomycetes"
"Phidippus princeps","Animalia","Arthropoda","Arachnida"
"Pantala hymenaea","Animalia","Arthropoda","Insecta"
"Chrysosplenium americanum","Plantae","Tracheophyta","Magnoliopsida"
"Catocala relicta","Animalia","Arthropoda","Insecta"
"Halichondria panicea","Animalia","Porifera","Demospongiae"
"Colpomenia peregrina","Chromista","Ochrophyta","Phaeophyceae"
"Scleroderma citrinum","Fungi","Basidiomycota","Agaricomycetes"
"Spiranthes ochroleuca","Plantae","Tracheophyta","Liliopsida"
"Nabalus altissima","Plantae","Tracheophyta","Magnoliopsida"
"Nyctanassa violacea","Animalia","Chordata","Aves"
"Cornus rugosa","Plantae","Tracheophyta","Magnoliopsida"
"Fallopia scandens","Plantae","Tracheophyta","Magnoliopsida"
"Porpidia albocaerulescens","Fungi","Ascomycota","Lecanoromycetes"
"Euphyes vestris","Animalia","Arthropoda","Insecta"
"Spergularia marina","Plantae","Tracheophyta","Magnoliopsida"
"Neohelix albolabris","Animalia","Mollusca","Gastropoda"
"Chelone lyonii","Plantae","Tracheophyta","Magnoliopsida"
"Cepaea hortensis","Animalia","Mollusca","Gastropoda"
"Sphagnum squarrosum","Plantae","Bryophyta","Sphagnopsida"
"Fumibotys fumalis","Animalia","Arthropoda","Insecta"
"Morus bassanus","Animalia","Chordata","Aves"
"Acronicta lanceolaria","Animalia","Arthropoda","Insecta"
"Eutrochium maculatum","Plantae","Tracheophyta","Magnoliopsida"
"Ceratiomyxa fruticulosa","Protozoa","Mycetozoa","Protosteliomycetes"
"Melanitta fusca","Animalia","Chordata","Aves"
"Conocephalus fasciatus","Animalia","Arthropoda","Insecta"
"Sterna hirundo","Animalia","Chordata","Aves"
"Brachypera zoilus","Animalia","Arthropoda","Insecta"
"Maianthemum trifolium","Plantae","Tracheophyta","Liliopsida"
"Pterospora andromedea","Plantae","Tracheophyta","Magnoliopsida"
"Papilio canadensis","Animalia","Arthropoda","Insecta"
"Equisetum arvense","Plantae","Tracheophyta","Polypodiopsida"
"Rosa nitida","Plantae","Tracheophyta","Magnoliopsida"
"Accipiter cooperii","Animalia","Chordata","Aves"
"Parkesia noveboracensis","Animalia","Chordata","Aves"
"Laccaria ochropurpurea","Fungi","Basidiomycota","Agaricomycetes"
"Ulva lactuca","Plantae","Chlorophyta","Ulvophyceae"
"Sphinx kalmiae","Animalia","Arthropoda","Insecta"
"Andrena wilkella","Animalia","Arthropoda","Insecta"
"Carex lasiocarpa","Plantae","Tracheophyta","Liliopsida"
"Anisolabis maritima","Animalia","Arthropoda","Insecta"
"Tylopilus felleus","Fungi","Basidiomycota","Agaricomycetes"
"Caripeta piniata","Animalia","Arthropoda","Insecta"
"Potentilla recta","Plantae","Tracheophyta","Magnoliopsida"
"Belvosia borealis","Animalia","Arthropoda","Insecta"
"Gymnocarpium dryopteris","Plantae","Tracheophyta","Polypodiopsida"
"Sympetrum semicinctum","Animalia","Arthropoda","Insecta"
"Alces alces","Animalia","Chordata","Mammalia"
"Pleurobrachia pileus","Animalia","Ctenophora","Tentaculata"
"Haploa clymene","Animalia","Arthropoda","Insecta"
"Lygaeus kalmii","Animalia","Arthropoda","Insecta"
"Clavaria zollingeri","Fungi","Basidiomycota","Agaricomycetes"
"Polygonia vaualbum","Animalia","Arthropoda","Insecta"
"Archiearis infans","Animalia","Arthropoda","Insecta"
"Megaptera novaeangliae","Animalia","Chordata","Mammalia"
"Hesperumia sulphuraria","Animalia","Arthropoda","Insecta"
"Eubaphe mendica","Animalia","Arthropoda","Insecta"
"Carex projecta","Plantae","Tracheophyta","Liliopsida"
"Amanita flavorubens","Fungi","Basidiomycota","Agaricomycetes"
"Limnoporus dissortis","Animalia","Arthropoda","Insecta"
"Leotia lubrica","Fungi","Ascomycota","Leotiomycetes"
"Porcellio scaber","Animalia","Arthropoda","Malacostraca"
"Maliattha synochitis","Animalia","Arthropoda","Insecta"
"Aquilegia canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Tylopilus plumbeoviolaceus","Fungi","Basidiomycota","Agaricomycetes"
"Satyrium liparops","Animalia","Arthropoda","Insecta"
"Isodontia mexicana","Animalia","Arthropoda","Insecta"
"Catocala sordida","Animalia","Arthropoda","Insecta"
"Amanita frostiana","Fungi","Basidiomycota","Agaricomycetes"
"Mastocarpus stellatus","Plantae","Rhodophyta","Florideophyceae"
"Cimbex americana","Animalia","Arthropoda","Insecta"
"Hemigrapsus sanguineus","Animalia","Arthropoda","Malacostraca"
"Erigeron strigosus","Plantae","Tracheophyta","Magnoliopsida"
"Amanita novinupta","Fungi","Basidiomycota","Agaricomycetes"
"Liriodendron tulipifera","Plantae","Tracheophyta","Magnoliopsida"
"Eulithis explanata","Animalia","Arthropoda","Insecta"
"Gaurotes cyanipennis","Animalia","Arthropoda","Insecta"
"Platanthera grandiflora","Plantae","Tracheophyta","Liliopsida"
"Acronicta fallax","Animalia","Arthropoda","Insecta"
"Castianeira descripta","Animalia","Arthropoda","Arachnida"
"Galium verum","Plantae","Tracheophyta","Magnoliopsida"
"Rubus hispidus","Plantae","Tracheophyta","Magnoliopsida"
"Lacuna vincta","Animalia","Mollusca","Gastropoda"
"Galium mollugo","Plantae","Tracheophyta","Magnoliopsida"
"Calligrapha rowena","Animalia","Arthropoda","Insecta"
"Ranunculus repens","Plantae","Tracheophyta","Magnoliopsida"
"Carex deflexa","Plantae","Tracheophyta","Liliopsida"
"Carex lurida","Plantae","Tracheophyta","Liliopsida"
"Cladonia furcata","Fungi","Ascomycota","Lecanoromycetes"
"Uvularia sessilifolia","Plantae","Tracheophyta","Liliopsida"
"Neriene radiata","Animalia","Arthropoda","Arachnida"
"Hieracium murorum","Plantae","Tracheophyta","Magnoliopsida"
"Cortinarius iodes","Fungi","Basidiomycota","Agaricomycetes"
"Ranunculus bulbosus","Plantae","Tracheophyta","Magnoliopsida"
"Gymnopus dryophilus","Fungi","Basidiomycota","Agaricomycetes"
"Deroceras reticulatum","Animalia","Mollusca","Gastropoda"
"Carex cumulata","Plantae","Tracheophyta","Liliopsida"
"Idotea balthica","Animalia","Arthropoda","Malacostraca"
"Carex stipata","Plantae","Tracheophyta","Liliopsida"
"Carex scoparia","Plantae","Tracheophyta","Liliopsida"
"Carex pallescens","Plantae","Tracheophyta","Liliopsida"
"Carex echinodes","Plantae","Tracheophyta","Liliopsida"
"Zale horrida","Animalia","Arthropoda","Insecta"
"Satyrium calanus","Animalia","Arthropoda","Insecta"
"Didymops transversa","Animalia","Arthropoda","Insecta"
"Lycaena hypophlaeas","Animalia","Arthropoda","Insecta"
"Salicornia depressa","Plantae","Tracheophyta","Magnoliopsida"
"Melanitta nigra","Animalia","Chordata","Aves"
"Psyllobora vigintimaculata","Animalia","Arthropoda","Insecta"
"Glaucopsyche lygdamus","Animalia","Arthropoda","Insecta"
"Carex intumescens","Plantae","Tracheophyta","Liliopsida"
"Framinghamia helvalis","Animalia","Arthropoda","Insecta"
"Forficula auricularia","Animalia","Arthropoda","Insecta"
"Boletus edulis","Fungi","Basidiomycota","Agaricomycetes"
"Noctua pronuba","Animalia","Arthropoda","Insecta"
"Holcus lanatus","Plantae","Tracheophyta","Liliopsida"
"Eriophorum vaginatum","Plantae","Tracheophyta","Liliopsida"
"Geocoris bullatus","Animalia","Arthropoda","Insecta"
"Acer negundo","Plantae","Tracheophyta","Magnoliopsida"
"Columba livia","Animalia","Chordata","Aves"
"Exidia recisa","Fungi","Basidiomycota","Agaricomycetes"
"Rhagio punctipennis","Animalia","Arthropoda","Insecta"
"Temnothorax ambiguus","Animalia","Arthropoda","Insecta"
"Diplazon laetatorius","Animalia","Arthropoda","Insecta"
"Cyrtopogon falto","Animalia","Arthropoda","Insecta"
"Hypogymnia krogiae","Fungi","Ascomycota","Lecanoromycetes"
"Hypogymnia tubulosa","Fungi","Ascomycota","Lecanoromycetes"
"Hypogymnia incurvoides","Fungi","Ascomycota","Lecanoromycetes"
"Linyphia triangularis","Animalia","Arthropoda","Arachnida"
"Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida"
"Chrysopilus quadratus","Animalia","Arthropoda","Insecta"
"Erigeron philadelphicus","Plantae","Tracheophyta","Magnoliopsida"
"Sterna dougallii","Animalia","Chordata","Aves"
"Membranipora membranacea","Animalia","Bryozoa","Gymnolaemata"
"Acalitus brevitarsus","Animalia","Arthropoda","Arachnida"
"Petrobius brevistylis","Animalia","Arthropoda","Insecta"
"Cypripedium parviflorum","Plantae","Tracheophyta","Liliopsida"
"Rumex crispus","Plantae","Tracheophyta","Magnoliopsida"
"Naphrys pulex","Animalia","Arthropoda","Arachnida"
"Colletes inaequalis","Animalia","Arthropoda","Insecta"
"Andrena clarkella","Animalia","Arthropoda","Insecta"
"Dolomedes scriptus","Animalia","Arthropoda","Arachnida"
"Melaphis minuta","Animalia","Arthropoda","Insecta"
"Mimulus ringens","Plantae","Tracheophyta","Magnoliopsida"
"Calamagrostis canadensis","Plantae","Tracheophyta","Liliopsida"
"Scorzoneroides autumnalis","Plantae","Tracheophyta","Magnoliopsida"
"Andrena dunningi","Animalia","Arthropoda","Insecta"
"Parmelia omphalodes","Fungi","Ascomycota","Lecanoromycetes"
"Coelopa frigida","Animalia","Arthropoda","Insecta"
"Phanogomphus spicatus","Animalia","Arthropoda","Insecta"
"Phanogomphus exilis","Animalia","Arthropoda","Insecta"
"Sorex fumeus","Animalia","Chordata","Mammalia"
"Lanius borealis","Animalia","Chordata","Aves"
"Plicaturopsis crispa","Fungi","Basidiomycota","Agaricomycetes"
"Ascodichaena rugosa","Fungi","Ascomycota","Leotiomycetes"
"Enicospilus purgatus","Animalia","Arthropoda","Insecta"
"Dorocordulia libera","Animalia","Arthropoda","Insecta"
"Callosamia promethea","Animalia","Arthropoda","Insecta"
"Microrhopala excavata","Animalia","Arthropoda","Insecta"
"Acronicta oblinita","Animalia","Arthropoda","Insecta"
"Boreus brumalis","Animalia","Arthropoda","Insecta"
"Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida"
"Baeolophus bicolor","Animalia","Chordata","Aves"
"Apioperdon pyriforme","Fungi","Basidiomycota","Agaricomycetes"
"Botrylloides violaceus","Animalia","Chordata","Ascidiacea"
"Ganoderma resinaceum","Fungi","Basidiomycota","Agaricomycetes"
"Matteuccia struthiopteris","Plantae","Tracheophyta","Polypodiopsida"
"Ectemnius arcuatus","Animalia","Arthropoda","Insecta"
"Mya arenaria","Animalia","Mollusca","Bivalvia"
"Anoscopus serratulae","Animalia","Arthropoda","Insecta"
"Myadestes townsendi","Animalia","Chordata","Aves"
